Type,Depth,Magnitude,ID,Latitude,Longitude,Dates
Earthquake,30.0,6.9,ISCGEM854468,-15.685,167.097,1965-08-11 19:52:32
Earthquake,30.0,6.0,ISCGEM854470,-15.741,167.26,1965-08-11 20:13:58
Earthquake,30.0,7.6,ISCGEM854473,-15.861,167.092,1965-08-11 22:31:51
Earthquake,30.0,6.9,ISCGEM854500,-15.817,167.399,1965-08-12 08:01:46
Earthquake,51.0,6.8,ISCGEM854507,-5.36,152.116,1965-08-12 12:57:15
Earthquake,35.0,5.9,ISCGEM854519,-15.931,167.392,1965-08-12 18:04:56
Earthquake,30.0,5.8,ISCGEM854538,-15.97,167.439,1965-08-13 04:40:57
Earthquake,25.0,6.1,ISCGEM854550,-15.995,166.96,1965-08-13 11:24:53
Earthquake,25.0,7.4,ISCGEM854555,-15.871,166.96,1965-08-13 12:40:10
Earthquake,35.0,7.2,ISCGEM854556,-16.198,167.607,1965-08-13 12:40:32
Earthquake,35.0,6.2,ISCGEM854573,-16.801,167.602,1965-08-13 17:56:30
Earthquake,30.0,6.0,ISCGEM854586,-6.38,148.543,1965-08-13 21:57:38
Earthquake,20.0,6.0,ISCGEM854614,-15.819,166.794,1965-08-14 11:07:47
Earthquake,35.0,5.7,ISCGEM854617,-11.385,166.332,1965-08-14 13:18:06
Earthquake,15.0,6.2,ISCGEM854661,-0.53,-19.951,1965-08-16 12:36:22
Earthquake,65.0,6.1,ISCGEM854696,4.872,95.836,1965-08-17 10:35:10
Earthquake,30.0,5.8,ISCGEM854706,-15.185,166.67,1965-08-17 16:17:45
Earthquake,25.0,6.2,ISCGEM854753,-15.945,166.999,1965-08-18 14:51:34
Earthquake,330.0,6.7,ISCGEM854799,-5.714,128.493,1965-08-20 05:54:51
Earthquake,124.0,6.7,ISCGEM854803,-18.954,-68.82,1965-08-20 09:42:50
Earthquake,75.0,6.1,ISCGEMSUP854809,-22.887,-176.194,1965-08-20 21:21:52
Earthquake,45.0,5.6,ISCGEM854827,-5.921,103.993,1965-08-21 15:04:20
Earthquake,15.0,6.0,ISCGEM854868,40.459,26.206,1965-08-23 14:08:58
Earthquake,25.0,7.4,ISCGEM854871,16.081,-95.867,1965-08-23 19:46:04
Earthquake,25.0,5.8,ISCGEM854885,15.837,-96.235,1965-08-24 01:01:00
Earthquake,30.0,5.7,ISCGEM854972,44.453,149.06,1965-08-27 18:22:03
Earthquake,30.0,5.8,ISCGEM855027,-16.931,167.454,1965-08-30 03:32:08
Earthquake,55.0,5.7,ISCGEMSUP855043,-6.428,104.667,1965-08-30 18:09:44
Earthquake,100.0,5.8,ISCGEMSUP853515,-34.596,179.922,1965-09-01 04:47:33
Earthquake,31.0,5.5,ISCGEM853538,51.867,175.451,1965-09-02 04:26:39
Earthquake,15.0,5.9,ISCGEM853601,46.515,153.387,1965-09-04 10:19:51
Earthquake,27.8,7.0,ISCGEM853605,58.09,-152.525,1965-09-04 14:32:51
Earthquake,25.0,5.7,ISCGEM853683,57.513,-152.263,1965-09-08 03:26:22
Earthquake,15.0,6.2,ISCGEM853712,6.47,-84.408,1965-09-09 10:02:26
Earthquake,44.6,6.2,ISCGEM853760,-5.349,152.955,1965-09-11 06:53:01
Earthquake,15.0,6.1,ISCGEM853784,-6.209,151.651,1965-09-12 08:40:10
Earthquake,25.0,6.3,ISCGEM853797,-6.416,70.726,1965-09-12 22:02:35
Earthquake,18.9,5.9,ISCGEM853808,55.338,165.731,1965-09-13 13:07:51
Earthquake,15.0,6.1,ISCGEM853817,-36.448,-97.6,1965-09-13 16:15:45
Earthquake,35.0,5.8,ISCGEM853835,8.382,126.895,1965-09-14 08:27:18
Earthquake,160.0,6.0,ISCGEM853881,7.156,126.522,1965-09-16 13:50:12
Earthquake,185.9,6.5,ISCGEM853904,-1.443,-77.476,1965-09-17 11:13:57
Earthquake,35.0,5.8,ISCGEM853914,36.269,141.533,1965-09-17 14:22:38
Earthquake,35.0,5.9,ISCGEM853917,36.245,141.53,1965-09-17 15:18:36
Earthquake,35.0,6.8,ISCGEM853920,36.27,141.361,1965-09-17 16:21:20
Earthquake,25.0,6.0,ISCGEM853952,8.188,126.874,1965-09-18 22:03:12
Earthquake,197.6,6.7,ISCGEM854009,28.952,128.227,1965-09-21 01:38:31
Earthquake,35.0,5.9,ISCGEM854025,20.682,99.326,1965-09-22 04:24:50
Earthquake,55.0,5.9,ISCGEM854040,-5.391,151.631,1965-09-22 20:01:50
Earthquake,35.0,6.3,ISCGEM854045,36.395,141.46,1965-09-22 22:08:01
Earthquake,45.0,5.6,ISCGEM854087,13.092,145.167,1965-09-24 23:53:43
Earthquake,27.5,5.7,ISCGEM854110,39.626,143.357,1965-09-25 14:53:34
Earthquake,10.0,5.8,ISCGEM854160,-54.757,-38.244,1965-09-26 21:33:52
Earthquake,35.0,5.6,ISCGEM854167,51.752,175.5,1965-09-27 05:09:13
Earthquake,25.0,6.5,ISCGEM854190,-28.278,-177.999,1965-09-28 05:06:40
Earthquake,20.0,6.1,ISCGEM854249,59.28,-144.06,1965-09-30 23:47:42
Earthquake,19.7,6.8,ISCGEM852802,49.937,178.166,1965-10-01 08:52:06
Earthquake,545.5,6.2,ISCGEM852814,-19.921,174.48,1965-10-01 13:22:29
Earthquake,10.0,6.0,ISCGEM852823,-60.468,-24.551,1965-10-01 22:34:23
Earthquake,50.0,5.9,ISCGEM852862,49.426,156.417,1965-10-03 14:45:31
Earthquake,22.2,5.9,ISCGEM852863,-42.969,-75.225,1965-10-03 16:14:57
Earthquake,20.0,5.9,ISCGEM852946,12.347,114.485,1965-10-07 03:36:02
Earthquake,20.0,5.8,ISCGEM853033,-59.225,-25.091,1965-10-10 17:25:41
Earthquake,25.0,5.6,ISCGEM853083,56.19,-153.615,1965-10-12 13:41:01
Earthquake,192.4,5.7,ISCGEM853158,3.113,128.558,1965-10-16 08:22:55
Earthquake,15.0,5.7,ISCGEM853181,-7.981,156.287,1965-10-17 01:53:35
Earthquake,25.0,6.3,ISCGEM853224,-1.28,127.725,1965-10-18 21:50:07
Earthquake,35.0,6.1,ISCGEM853243,52.366,174.254,1965-10-19 20:48:49
Earthquake,45.0,5.6,ISCGEM853331,53.901,-165.403,1965-10-23 06:00:54
Earthquake,145.1,5.9,ISCGEM853357,4.203,125.787,1965-10-24 14:32:11
Earthquake,60.0,5.6,ISCGEM853361,49.646,156.116,1965-10-24 18:15:10
Earthquake,170.0,6.7,ISCGEM853391,44.12,145.389,1965-10-25 22:34:24
Earthquake,25.0,5.6,ISCGEMSUP853445,-1.257,127.735,1965-10-28 08:58:27
Earthquake,593.8,6.7,ISCGEM852129,-9.031,-71.139,1965-11-03 01:39:04
Earthquake,15.0,6.1,ISCGEM852145,-22.457,-113.788,1965-11-03 18:21:08
Earthquake,15.0,5.9,ISCGEM852189,-3.144,143.789,1965-11-05 19:01:04
Earthquake,15.0,6.2,ISCGEM852214,-22.126,-113.928,1965-11-06 09:21:47
Earthquake,20.0,6.4,ISCGEM852381,30.628,140.23,1965-11-12 17:52:24
Earthquake,35.0,6.5,ISCGEM852398,43.745,87.843,1965-11-13 04:33:52
Earthquake,45.0,5.7,ISCGEM852416,-29.414,-68.166,1965-11-13 17:59:43
Earthquake,40.0,5.7,ISCGEM852431,36.514,141.229,1965-11-14 05:54:13
Earthquake,10.0,6.1,ISCGEM852463,-0.224,-18.645,1965-11-15 11:18:50
Earthquake,110.0,5.9,ISCGEM852478,6.553,126.903,1965-11-16 06:45:59
Earthquake,10.0,6.0,ISCGEM852482,30.887,-41.479,1965-11-16 15:24:44
Earthquake,94.7,5.7,ISCGEM852485,25.449,125.319,1965-11-16 17:05:41
Earthquake,160.0,5.6,ISCGEM852520,-7.058,129.347,1965-11-18 17:17:20
Earthquake,430.0,6.5,ISCGEM852521,-18.855,-177.721,1965-11-18 20:00:21
Earthquake,45.0,6.0,ISCGEM852523,53.909,160.579,1965-11-18 21:58:19
Earthquake,147.9,5.8,ISCGEM852557,-7.225,129.12,1965-11-20 15:05:42
